"","y","x","cat"
"1",-2.32696104582664,1990,"Jan"
"2",-3.08573967799048,1990.08333333333,"Feb"
"3",-3.46342463326501,1990.16666666667,"Mar"
"4",-3.20621942868026,1990.25,"Apr"
"5",-2.20310447711953,1990.33333333333,"May"
"6",-0.692861391553016,1990.41666666667,"Jun"
"7",0.378666678075201,1990.5,"Jul"
"8",3.7290667925672,1990.58333333333,"Aug"
"9",6.84709656662709,1990.66666666667,"Sep"
"10",5.71675241174836,1990.75,"Oct"
"11",0.673144902959225,1990.83333333333,"Nov"
"12",-2.1216634028961,1990.91666666667,"Dec"
"13",-2.38935134539758,1991,"Jan"
"14",-3.14655446827248,1991.08333333333,"Feb"
"15",-3.51638515183488,1991.16666666667,"Mar"
"16",-3.26207010413718,1991.25,"Apr"
"17",-2.26801844862746,1991.33333333333,"May"
"18",-0.677638887642818,1991.41666666667,"Jun"
"19",0.477361129545353,1991.5,"Jul"
"20",3.44709284663754,1991.58333333333,"Aug"
"21",6.72838868438643,1991.66666666667,"Sep"
"22",5.92213622695719,1991.75,"Oct"
"23",0.891143482920899,1991.83333333333,"Nov"
"24",-1.95915115671819,1991.91666666667,"Dec"
"25",-2.45251429380211,1992,"Jan"
"26",-3.20810247185324,1992.08333333333,"Feb"
"27",-3.57003944816867,1992.16666666667,"Mar"
"28",-3.31865468507134,1992.25,"Apr"
"29",-2.33370645332593,1992.33333333333,"May"
"30",-0.663253584559023,1992.41666666667,"Jun"
"31",0.575155212553245,1992.5,"Jul"
"32",3.16411303488318,1992.58333333333,"Aug"
"33",6.60856943895862,1992.66666666667,"Sep"
"34",6.12638360982224,1992.75,"Oct"
"35",1.10798056138216,1992.83333333333,"Nov"
"36",-1.79770365862441,1992.91666666667,"Dec"
"37",-2.51340525827469,1993,"Jan"
"38",-3.26415422020853,1993.08333333333,"Feb"
"39",-3.6155819755804,1993.16666666667,"Mar"
"40",-3.36559014082518,1993.25,"Apr"
"41",-2.37858820565004,1993.33333333333,"May"
"42",-0.637873730688658,1993.41666666667,"Jun"
"43",0.644305076616769,1993.5,"Jul"
"44",2.85993632743511,1993.58333333333,"Aug"
"45",6.47721138077697,1993.66666666667,"Sep"
"46",6.3178041356816,1993.75,"Oct"
"47",1.3328322564133,1993.83333333333,"Nov"
"48",-1.62606546328135,1993.91666666667,"Dec"
"49",-2.57295334899463,1994,"Jan"
"50",-3.31921759560924,1994.08333333333,"Feb"
"51",-3.66049063083562,1994.16666666667,"Mar"
"52",-3.41248515199896,1994.25,"Apr"
"53",-2.42402294097055,1994.33333333333,"May"
"54",-0.613900553728427,1994.41666666667,"Jun"
"55",0.711194569856422,1994.5,"Jul"
"56",2.55243397205342,1994.58333333333,"Aug"
"57",6.34146239755197,1994.66666666667,"Sep"
"58",6.50366592681568,1994.75,"Oct"
"59",1.55095740703724,1994.83333333333,"Nov"
"60",-1.4622832003907,1994.91666666667,"Dec"
"61",-2.62773381841922,1995,"Jan"
"62",-3.36885746890395,1995.08333333333,"Feb"
